ID;CODE;LINE_NB
R-116;586J8;2
Z-117;VPX;1
Z-117;VPX;2
B-118;UL;1
B-118;L9V;2
B-118;ULV;3
A-119;E6X;1
A-119;86X;2
N-120;86X;1
N-120;86X;2
Y-121;UL;1
Y-121;ULV;2
Y-121;L9V;3
T-122;3PX;1
T-122;V5TG;2
D-123;ZZ4;1
D-123;4EV;2
N-124;ZZ4;1
N-124;4EV;2
L-125;LP;1
L-125;ULV;2
L-125;L9V;3
Y-126;M5ES;1
Y-126;UUMEK;2
Y-126;UUMEK;3
U-127;ZVX;1
U-127;UVX;2
K-128;LP;1
K-128;ULV;2
K-128;L9V;3
U-129;LP;1
U-129;ULV;2
U-129;L9V;3
Z-130;LP;1
Z-130;ULV;2
Z-130;L9V;3
X-131;95L;1
X-131;ULV;2
X-131;L9V;3
X-132;LP;1
X-132;ULV;2
X-132;L9V;3
O-133;LP;1
O-133;ULV;2
O-133;L9V;3
D-134;LP;1
D-134;ULV;2
D-134;L9V;3
H-135;LP;1
H-135;ULV;2
H-135;L9V;3
U-136;LP;1
U-136;ULV;2
U-136;L9V;3
V-137;LP;1
V-137;ULV;2
V-137;L9V;3
Q-138;LP;1
Q-138;ULV;2
Q-138;L9V;3
Q-139;LP;1
Q-139;ULV;2
Q-139;L9V;3
H-140;95L;1
H-140;ULV;2
H-140;L9V;3
I-141;LP;1
I-141;ULV;2
I-141;L9V;3
M-142;LP;1
M-142;ULV;2
M-142;L9V;3
V-143;LP;1
V-143;ULV;2
V-143;L9V;3
O-144;LP;1
O-144;ULV;2
O-144;L9V;3
J-145;LP;1
J-145;ULV;2
J-145;L9V;3
J-146;L5TG;1
J-146;L5TG;2
E-147;ZVX;1
E-147;586J8;2
F-148;S£9;1
F-148;S£9;2
Y-149;8VX;1
Y-149;586J8;2
Y-149;68V;3
O-150;8VX;1
O-150;3XV;2
Q-151;86X;1
Q-151;86X;2
U-152;8VX;1
U-152;3XV;2
B-153;L5TG;1
B-153;L5TG;2
F-154;M55E6;1
F-154;XW9V8;2
F-154;XW9V8;3
T-155;86MEK;1
T-155;86MEK;2
C-156;8GL;1
C-156;8GL;2
C-156;8GL;3
S-157;3PX;1
S-157;V5TG;2
S-157;V5TG;3
R-158;X9T;1
R-158;X9T;2
Y-159;UVX;1
Y-159;UVX;2
Y-159;UVX;3
Y-159;UVX;4
Y-159;UVX;5
Y-159;UVX;6
D-160;MWU6P;1
D-160;MWU6P;2
D-161;UVX;1
D-161;UVX;2
D-161;UVX;3
Y-162;UVX;1
Y-162;UVX;2
A-163;3PX;1
A-163;V5TG;2
A-163;V5TG;3
Z-164;AMEK;1
Z-164;AMEK;2
Z-164;M5ES;3
N-165;ZVX;1
N-165;ZV6J8;2
C-166;M5ES;1
C-166;M5ES;2
U-167;ZVX;1
U-167;ZV6J8;2
S-168;86MEK;1
S-168;86MEK;2
S-168;M5ES;3
S-168;5G;4
P-169;M5ES;1
P-169;M5ES;2
Z-170;ZVX;1
Z-170;ZV6J8;2
U-171;L5TG;1
U-171;L5TG;2
K-172;TP;1
K-172;TP;2
K-172;TP;3
K-172;TP;4
K-172;TP;5
K-172;TP;6
K-172;TP;7
L-173;MWU6P;1
L-173;MWU6P;2
L-173;MWU6P;3
L-173;MWU6P;4
L-173;X6L6X;5
B-174;UL;1
B-174;ULV;2
B-174;L9V;3
Y-175;86X;1
Y-175;86X;2
H-176;TP;1
H-176;TP;2
H-176;TP;3
H-177;UL;1
H-177;ULV;2
H-177;L9V;3
B-178;R;1
B-178;R;2
G-179;U8X;1
G-179;586J8;2
A-180;UVX;1
A-180;586J8;2
Q-181;U8X;1
Q-181;586J8;2
N-182;U8X;1
N-182;586J8;2
X-183;86MEK;1
X-183;86MEK;2
X-183;M5ES;3
T-184;TVX;1
T-184;TVX;2
T-184;TVX;3
I-185;UL;1
I-185;ULV;2
I-185;L9V;3
E-186;TVX;1
E-186;TVX;2
W-187;UL;1
W-187;ULV;2
W-187;L9V;3
L-188;UL;1
L-188;ULV;2
L-188;L9V;3
I-189;UL;1
I-189;ULV;2
I-189;L9V;3
W-190;UL;1
W-190;ULV;2
W-190;L9V;3
P-191;X6VPX;1
P-191;M6VPX;2
A-192;86X;1
A-192;86X;2
A-192;86X;3
G-193;TL8;1
G-193;VJ9;2
V-194;M55E6;1
V-194;L9V8;2
G-195;TK6;1
G-195;TK6;2
B-196;AG9;1
B-196;A6G;2
B-196;M6G;3
B-196;X6G;4
B-196;E6G;5
A-197;UL;1
A-197;ULV;2
A-197;L9V;3
C-198;UL;1
C-198;ULV;2
C-198;L9V;3
F-199;VPX;1
F-199;VPX;2
O-200;8QX;1
O-200;8QX;2
N-201;M5ES;1
N-201;M5ES;2
Q-202;M5ES;1
Q-202;86MEK;2
Q-202;86MEK;3
D-203;PX9;1
D-203;RVX9L;2
D-203;L5TG;3
D-203;L5TG;4
X-204;PX9;1
X-204;V5TG;2
X-204;V5TG;3
Y-205;ZZ4;1
Y-205;4EV;2
R-206;M5ES;1
R-206;86MEK;2
R-206;86MEK;3
K-207;M5ES;1
K-207;86MEK;2
K-207;86MEK;3
H-208;M5ES;1
H-208;86MEK;2
H-208;86MEK;3
H-209;T6T9;1
H-209;T6T9;2
U-210;86MEK;1
U-210;86MEK;2
I-211;U4;1
I-211;4LV;2
D-212;X9T;1
D-212;X9T;2
V-213;M5ES;1
V-213;86MEK;2
V-213;86MEK;3
V-214;X9T;1
V-214;X9T;2
V-214;X9T;3
V-214;X9T;4
M-215;3PX;1
M-215;V5TG;2
L-216;M5ES;1
L-216;86MEK;2
L-216;86MEK;3
Y-217;R;1
Y-217;R;2
Y-217;R;3
Y-217;R;4
Y-217;RZ;5
Y-218;3PX;1
Y-218;V5TG;2
Y-218;V5TG;3
H-219;3PX;1
H-219;V5TG;2
R-220;86X;1
R-220;E6X;2
R-220;86X;3
P-221;VPX;1
P-221;VPX;2
N-222;86MEK;1
N-222;86MEK;2
N-222;M5ES;3
Y-223;MW59M;1
Y-223;MW59M;2
Y-223;TL8;3
Y-223;VJ9;4
Y-223;TL8;5
Y-223;RVJ9;6
Z-224;8QX;1
Z-224;8QX;2
B-225;PE86;1
B-225;PE86;2
Q-226;AG9;1
Q-226;A6G;2
Q-226;M6G;3
Q-226;E6G;4
W-227;86X;1
W-227;86X;2
C-228;PX9;1
C-228;RVX9L;2
C-228;L5TG;3
C-228;L5TG;4
K-229;ZVX;1
K-229;ZVX;2
V-230;UVX;1
V-230;UVX;2
V-230;586J8;3
C-231;1WLJ9;1
C-231;8P69;2
C-231;X686X;3
C-231;B8MR;4
C-231;O8MR;5
C-231;M$P69;6
C-231;X686X;7
B-232;PX9;1
B-232;L5TG;2
C-233;95L;1
C-233;L9V;2
M-234;T58;1
M-234;T58;2
M-235;PX9;1
M-235;L5TG;2
M-235;L5TG;3
V-236;VPX;1
V-236;VPX;2
F-237;AG9;1
F-237;A6G;2
F-237;AG9;3
F-237;A6G;4
F-237;M6G;5
B-238;AG9;1
B-238;A6G;2
B-238;M6G;3
D-239;PX9;1
D-239;V5TG;2
X-240;1$MX9;1
X-240;OVX9;2
S-241;3PX;1
S-241;V5TG;2
L-242;PX9;1
L-242;L5TG;2
L-242;L5TG;3
D-243;MEZ;1
D-243;MEZ;2
G-244;TL8;1
G-244;XWP69;2
G-244;LJ9;3
I-245;M5ES;1
I-245;DMEK;2
I-245;DMEK;3
D-246;86X;1
D-246;86X;2
P-247;6UJ;1
P-247;VPX;2
P-247;L6X;3
S-248;XWP69;1
S-248;TL8;2
S-248;XWLJ9;3
E-249;UL;1
E-249;L9V;2
E-249;ULV;3
E-249;VPX;4
B-250;M5ES;1
B-250;86MEK;2
B-250;86MEK;3
Y-251;X9T;1
Y-251;X9T;2
Y-252;M5ES;1
Y-252;86MEK;2
Y-252;86MEK;3
X-253;ZZ4;1
X-253;4EV;2
X-254;L5TG;1
X-254;L5TG;2
R-255;GL9L;1
R-255;L5TG;2
R-255;L5TG;3
W-256;XWP69;1
W-256;TL8;2
W-256;XWLJ9;3
G-257;E6X;1
G-257;86X;2
H-258;VYJ;1
H-258;VYJ;2
H-258;VYJ;3
Y-259;4K;1
Y-259;6MK;2
Q-260;86X;1
Q-260;86X;2
K-261;U4;1
K-261;4LV;2
P-262;95L;1
P-262;9LL9V;2
P-262;9ULV;3
W-263;UL;1
W-263;L9V;2
W-263;ULV;3
M-264;ZZ4;1
M-264;VML;2
N-265;T6T9;1
N-265;T6T9;2
F-266;3PX;1
F-266;V5TG;2
U-267;8GL;1
U-267;8GL;2
Z-268;UL;1
Z-268;ELV;2
A-269;BG9;1
A-269;B6G;2
A-269;AG9;3
A-269;A6G;4
A-269;M6G;5
I-270;86X;1
I-270;E6X;2
W-271;UL;1
W-271;L9V;2
W-271;ULV;3
E-272;AG9;1
E-272;A6G;2
E-272;M6G;3
H-273;AG9;1
H-273;A6G;2
H-273;M6G;3
H-274;ZZ4;1
H-274;4EV;2
Z-275;X9;1
Z-275;X9;2
E-276;VYJ;1
E-276;VYJ;2
E-276;EV9L;3
E-276;V5TG;4
V-277;ZZ4;1
V-277;4EV;2
W-278;4K;1
W-278;VMK;2
W-278;4EV;3
B-279;ZZ4;1
B-279;5ML;2
Q-280;8VX;1
Q-280;8LV;2
Q-280;586J8;3
Q-280;68V;4
K-281;8QX;1
K-281;X686X;2
K-281;X686X;3
R-282;ZZ4;1
R-282;4EV;2
I-283;8QX;1
I-283;X686X;2
H-284;8VX;1
H-284;8LV;2
H-284;586J8;3
H-284;68V;4
K-285;UL;1
K-285;L9V;2
K-285;ULV;3
J-286;3PX;1
J-286;V5TG;2
J-286;V5TG;3
J-286;V5TG;4
I-287;ZZ4;1
I-287;5ML;2
D-288;$TL8;1
D-288;$P69;2
D-288;1WLJ9;3
L-289;ZZ4;1
L-289;6ML;2
K-290;ZZ4;1
K-290;4EV;2
V-291;UL;1
V-291;L9V;2
V-291;ULV;3
W-292;ZZ4;1
W-292;5ML;2
W-292;4EV;3
J-293;E6X;1
J-293;VPX;2
B-294;4K;1
B-294;5MK;2
B-294;4EV;3
B-295;ZZ4;1
B-295;5ML;2
Z-296;TP;1
Z-296;TP;2
Z-296;TP;3
Z-296;TP;4
R-297;65E;1
R-297;X686X;2
R-297;E6U;3
Y-298;ZZ4;1
Y-298;4EV;2
L-299;VX9;1
L-299;VX9;2
I-300;U4;1
I-300;4EV;2
D-301;ZZ4;1
D-301;4EV;2
C-302;U4;1
C-302;6ML;2
B-303;ZZ4;1
B-303;4EV;2
M-304;ZZ4;1
M-304;4LV;2
L-305;3PX;1
L-305;VPX;2
L-305;ZZ4;3
L-305;5V;4
P-306;ZZ4;1
P-306;ZZ5;2
T-307;UL;1
T-307;L9V;2
T-307;ULV;3
W-308;ZZ4;1
W-308;4EV;2
K-309;ZZ4;1
K-309;4EV;2
A-310;UL;1
A-310;L9V;2
A-310;ULV;3
R-311;UL;1
R-311;L9V;2
R-311;ULV;3
D-312;ZZ4;1
D-312;4EV;2
X-313;U4;1
X-313;6ML;2
T-314;X9;1
T-314;X9;2
A-315;U4;1
A-315;6ML;2
L-316;ZZ4;1
L-316;6ML;2
J-317;UL;1
J-317;L9V;2
J-317;ULV;3
L-318;1$MX9;1
L-318;1$MX9;2
D-319;UL;1
D-319;L9V;2
D-319;ULV;3
S-320;UL;1
S-320;L9V;2
S-320;ULV;3
T-321;VPX;1
T-321;L9X;2
S-322;UL;1
S-322;L9V;2
S-322;ULV;3
L-323;$TL8;1
L-323;$WVJ9;2
Z-324;ZZ4;1
Z-324;5ML;2
D-325;28MR;1
D-325;B8MR;2
D-326;ZZ4;1
D-326;5ML;2
L-327;VYJ;1
L-327;VYJ;2
N-328;UL;1
N-328;L9V;2
N-328;ULV;3
Q-329;ZZ4;1
Q-329;4EV;2
C-330;U4;1
C-330;4EV;2
W-331;S89;1
W-331;S89;2
E-332;ZZ4;1
E-332;4EV;2
A-333;UVX;1
A-333;UVX;2
L-334;LJ9;1
L-334;TL8;2
W-335;ZZ4;1
W-335;6ML;2
W-335;4EV;3
O-336;ZZ4;1
O-336;4EV;2
C-337;ZZ4;1
C-337;4EV;2
X-338;UL;1
X-338;L9V;2
X-338;ULV;3
D-339;ZZ4;1
D-339;6ML;2
D-339;4EV;3
H-340;8QX;1
H-340;8QX;2
H-340;E6U;3
H-340;2WVJ9;4
M-341;UL;1
M-341;ULV;2
M-341;L9V;3
B-342;UL;1
B-342;ULV;2
B-342;L9V;3
L-343;ZZ4;1
L-343;4EV;2
T-344;ZZ4;1
T-344;6ML;2
T-344;4EV;3
T-345;ZZ4;1
T-345;4EV;2
U-346;ZZ4;1
U-346;4EV;2
U-347;UL;1
U-347;ULV;2
U-347;L9V;3
A-348;ZZ4;1
A-348;5ML;2
A-348;4EV;3
V-349;UL;1
V-349;L9V;2
V-349;ULV;3
Q-350;X686X;1
Q-350;E6U;2
U-351;ZZ4;1
U-351;6ML;2
U-351;4EV;3
N-352;8P69;1
N-352;XW9V8;2
A-353;JUL;1
A-353;JUV;2
K-354;RP;1
K-354;R;2
Y-355;L;1
Y-355;JUV;2
S-356;9V8;1
S-356;9V8;2
H-357;8P69;1
H-357;XW9V8;2
Z-358;U4;1
Z-358;4EV;2
B-359;E6U;1
B-359;E6U;2
B-359;E6U;3
B-359;X686X;4
B-359;X686X;5
B-359;8QX;6
B-359;8QX;7
V-360;ZZ4;1
V-360;4EV;2
N-361;ZZ4;1
N-361;6ML;2
N-361;4EV;3
P-362;LEU;1
P-362;PX9;2
P-362;L5TG;3
P-362;L5TG;4
